Clade,Genus,Species,GenusFinal,SpeciesFinal,Specimen,Reference,Page,R L,L L,L,R L,L L,L,R L,L L,L,R L,L L,L,L Min Shaft W,R Min Shaft W,Min Shaft W,R Circ,L Circ,Circ,R L,L L,L,R L,L L,L,MC I L,MC II L,MC III L,MC IV L,MC V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,V-1 L,V-2 L,V-3 L,V-4 L,R L,L L,L,R Circ,L Circ,Circ,R Midshaft ML W,L Midshaft ML W,Midshaft ML W,R Midshaft AP L,L Shaft AP L,Shaft AP L,R L,L L,L,R L,L L,L,MT I L,MT II L,MT III L,MT IV L,MT V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,IV-4 L,IV-5 L,Entry 1,Entry 2,,,,,,,Total Entries,Fem Entries,Difference,
Ankylosauria,Euoplocephalus,tutus,Dyoplosaurus,acutosquameus,ROM 784,combined,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,82,,,,,,,,,,,,,,,,,,,,544,,,273,,,103,,,46,,,,,,,,,108,,,,,,,,,,,,,,,,,Andrew A. Farke,,,,,,,,7,4,3,
Ankylosauria,Edmontonia,longiceps,Edmontonia,longiceps,CMN 8531,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,1,1,0,
Ankylosauria,Edmontonia,longiceps,Edmontonia,longiceps,CMN 8531,Ford & Kirkland 2001,247-248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Roman E. Ulansky,,,,,,,1,1,0,
Ankylosauria,,,Edmontonia,longiceps,CMN 8531,combined,,,,,,,,,,,,,495,,,,,,,,,335,,,298,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,558,,,309,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,,,,,,,,6,1,5,
Ankylosauria,Edmontonia,longiceps,Edmontonia,longiceps,CMN 8531,Carpenter 1990,292,,,,,,,,,,495,,,,,,,,,,335,,295,300,,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,558,,,327,290,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Ville-Veikko Sinkkonen,Leo Sham,,,,,,8,1,7,
Ankylosauria,Edmontonia,rugosidens,Edmontonia,rugosidens,AMNH 5381,Carpenter 1990,292,,,,,,,,,,,570,,,,,,,,,,,,,,- / 121,- / 122,,,,- / 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Ville-Veikko Sinkkonen,Leo Sham,,,,,,4,0,4,
Ankylosauria,Edmontonia,rugosidens,Edmontonia,rugosidens,AMNH 5665,Carpenter 1990,292,,,,,,,,,,582,,,,,,,,,500,,,355,,,135 / -,90 / -,130 / -,105 / -,,95 / -,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Ville-Veikko Sinkkonen,Leo Sham,,,,,,9,0,9,
Ankylosauria,Panoplosaurus,mirus,Edmontonia,rugosidens,ROM 1215,Carpenter 1990,292,,,,400,,,,,,420,,,,,,,,,,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Ville-Veikko Sinkkonen,Leo Sham,,,,,,3,0,3,
Ankylosauria,Edmontonia,rugosidens,Edmontonia,rugosidens,ROM 1215,Russell 1940,21,,,254,400e,,,524,,,420,,,,,,,,,,348.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jorge Câmara,John Dziak,,,,,,,5,0,5,
Ankylosauria,,,Edmontonia,rugosidens,ROM 1215,combined,,,,263,,,382,,,526,,,414,,,51,,,209,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,,,,,,,,7,0,7,
Ankylosauria,Edmontonia,rugosidens,Edmontonia,rugosidens,ROM 1215,personal observation ,,277,257,,345,,,527,,,412,405,,51,51,,209,208,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan C. Mallon,N/A,,,,,,,11,0,11,
Ankylosauria,Palaeoscincus,rugosidens,Edmontonia,rugosidens,,Maleev 1954,5,,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman E. Ulansky,Christian Foth,Henrique Niza,Jorge Câmara,,,,,1,0,1,
Ankylosauria,Euoplocephalus,tutus,Euoplocephalus,tutus,AMNH 5266,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,,,,,39,,,28.5,,,198,,,,,37,72,38,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,7,3,4,
Ankylosauria,Euoplocephalus,tutus,Euoplocephalus,tutus,AMNH 5403,Maidment et al 2008,suppl. xxxi-xxxiii,,,,,,,,,,,,470,,,100,,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,3,0,3,
Ankylosauria,Euoplocephalus,tutus,Euoplocephalus,tutus,AMNH 5404,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.5,,,,,,,,,85.6,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,2,2,0,
Ankylosauria,Euoplocephalus,tutus,Euoplocephalus,tutus,AMNH 5404,Ford & Kirkland 2001,247-248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Roman E. Ulansky,,,,,,,2,1,1,
Ankylosauria,Euoplocephalus,tutus,Euoplocephalus,tutus,AMNH 5404,"Varialle, pers. obs.",,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank J. Varriale,N/A,,,,,,,2,1,1,
Ankylosauria,Euoplocephalus,tutus,Euoplocephalus,tutus,AMNH 5404,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.5,,,278,,,95.3,,,85.6,,,411.5,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,5,4,1,
Ankylosauria,,,Euoplocephalus,tutus,AMNH 5404,combined,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,,,278,,,,,95,86,,,371,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,,,,,,,,6,4,2,
Ankylosauria,Euoplocephalus,tutus,Euoplocephalus,tutus,NHM R5161,Ford & Kirkland 2001,247-248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,415,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Roman E. Ulansky,,,,,,,2,1,1,
Ankylosauria,Euoplocephalus,,Euoplocephalus,tutus,ROM 813,Coombs 1986,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,was ROM 833,,,,1,0,1,
