Clade,Genus,Species,GenusFinal,SpeciesFinal,Specimen,Reference,Page,R L,L L,L,R L,L L,L,R L,L L,L,R L,L L,L,L Min Shaft W,R Min Shaft W,Min Shaft W,R Circ,L Circ,Circ,R L,L L,L,R L,L L,L,MC I L,MC II L,MC III L,MC IV L,MC V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,V-1 L,V-2 L,V-3 L,V-4 L,R L,L L,L,R Circ,L Circ,Circ,R Midshaft ML W,L Midshaft ML W,Midshaft ML W,R Midshaft AP L,L Shaft AP L,Shaft AP L,R L,L L,L,R L,L L,L,MT I L,MT II L,MT III L,MT IV L,MT V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,IV-4 L,IV-5 L,Entry 1,Entry 2,,,,,,,Total Entries,Fem Entries,Difference,
Ceratopsia,Centrosaurus,flexus,Centrosaurus,apertus,YPM 2015,"Varialle, pers. obs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank J. Varriale,N/A,,,,,,,1,1,0,
Ceratopsia,Centrosaurus,,Centrosaurus,apertus,YPM 2015,Adams 1991,5,,,,,,,,,,,,582,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Christian Foth,,,,,,,2,0,2,
Ceratopsia,,,Centrosaurus,apertus,YPM 2015,combined,,,,336,,,,,,810,,,584,,,96,,,,,,447,,,345,88,128,131,101,76,54,,35,,56,41,29,,57,30,20,16,,,,,,,788,,,320,,,85,,,99,,,546,,,525,103,186,183,160,,94,,61,50,,59,35,39,,59,43,33,25,,Robert J. Taylor,,FLAGS: Tentatively discounted a femur length measurement of 910 mm (vs. two others of 787 & 789 mm). Averaged two MT III L measurements of 157 mm & 209 mm but question the decision.,,,,,,40,4,36,
Ceratopsia,Centrosaurus,apertus,Centrosaurus,apertus,YPM 2015,Lull 1933,,@,@,,,,,,,@,,@,,@,,,,,,@,@,,,,@,@,@,131,101,76,54,,35,,56,"40,5",29,,"56,5",30,20,16,,,,,,,789,,,320,,,85,,,98,,,552,,,527,103,186,209,160,,94,,61,50,,59,34.5,38.5,,59,43,32.5,25,,Andrew A. Farke,Christian Foth,,,,,,,42,4,38,
Ceratopsia,Centrosaurus,apertus,Centrosaurus,apertus,YPM 2015 (mount, = AMNH 5341,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,,,320,,,84.8,,,99.3,,,540,,,522,,,157,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,7,4,3
Ceratopsia,Monoclonius,cutleri,Centrosaurus,apertus,,Parks 1921,63,,,,,,,,,,,,,,,,,,,,,,,,,97,140,143,105,73,50,,,,61,42,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jorge Câmara,Robert J. Taylor,,,,,,,9,0,9,
Ceratopsia,Monoclonius,nasicornis,Centrosaurus,apertus,,Parks 1921,"61, 63",,,,,,700,,,,,,600,,,,,,,,,,,,,83,127,130,99,80,56,64,46,30,55,38,27,20,41,34,21,18,43,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jorge Câmara,Robert J. Taylor,,,,,,,21,0,21,
Ceratopsia,Centrosaurus,brinkmani,Centrosaurus,brinkmani,TMP 2002.68.76,Tumarkin-Deratzian 2009,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Andrew A. Farke,,,,,,,1,0,1,
Ceratopsia,Centrosaurus,brinkmani,Centrosaurus,brinkmani,TMP 2002.68.78,Tumarkin-Deratzian 2009,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Andrew A. Farke,,,,,,,1,1,0,
Ceratopsia,Centrosaurus,brinkmani,Centrosaurus,brinkmani,TMP 2002.68.83,Tumarkin-Deratzian 2009,1491,,,,,,,,,,,,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Andrew A. Farke,,,,,,,1,0,1,
Ceratopsia,Montanoceratops,cerorhynchus,Cerasinops,hodgskissi,MOR 300,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,122.5,,,42.6,,,33.7,,,335.5,,,321,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,6,4,2,
Ceratopsia,undescribed,,Cerasinops,hodgskissi,MOR 300,Chinnery 2004b,supplemental,,,,,,280e,,,,,,260,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,,,,,,,,,70,,,344,,,319,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Mathew J. Wedel,,,,,,,7,2,5,
Ceratopsia,Cerasinops,hodgskissi,Cerasinops,hodgskissi,MOR 300,Chinnery & Horner 2007,626,,,,,,@,,,,,,@,,,,,,,,,206 e,,,,,,,,,,,,,,,,,,,,,,,,,,,@,,,,,,,,,,,,@,,,@,@,,@,@,,,,,,,,,,,,,,,,Ville-Veikko Sinkkonen,Christian Foth,,,,,,,9,1,8,
Ceratopsia,,,Cerasinops,hodgskissi,MOR 300,combined,,,,,,,277,,,,,,260,,,108,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,348,,,123,,,43,,,52,,,341,,,324,112,,171,143,,,,,,,,,,,,,,,,Robert J. Taylor,,FLAG: Averaged two Midshaft AP L measurements of 34 mm and 70 mm but question the decision. ,,,,,,13,4,9,
Ceratopsia,Leptoceratops,,Cerasinops,hodgskissi,USNM 13863,Chinnery 2004b,supplemental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,196,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Mathew J. Wedel,,,,,,,2,0,2,
Ceratopsia,Leptoceratops,gracilis,Cerasinops,hodgskissi,USNM 13863,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,100,108,92,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,4,0,4,
Ceratopsia,Leptoceratops,gracilis,Cerasinops,hodgskissi,USNM 13863,Ostrom 1978,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,190e,77e,100,108,92,,41.4,,38,31,35,37,27.5,29.5,41,,21,21,18.5,31,Christian Foth,Fernando Racimo,Robert J. Taylor,,,,,,18,0,18,
Ceratopsia,,,Cerasinops,hodgskissi,USNM 13863,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,193,77,100,108,92,,41,,38,31,35,37,28,30,41,,21,21,19,31,Robert J. Taylor,,,,,,,,18,0,18,
Ceratopsia,Ceratopsia indet.,,Ceratopsia indet.,,USNM 365558,"Varialle, pers. obs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank J. Varriale,N/A,,,,,,,2,2,0,
Ceratopsia,"Chasmosaurinae indet. (""Anchiceratops"")",sp.,Chasmosaurinae,indet.,CMN 8547,Mallon pers.obs.,,,,,560,,,,,,523,,,,91,,,,,407,,,296,,,73,119,127,93,78,51,,37,25,,36,20,15,,42,19,12,41,18,,,740,,,,,,,,,146,,,520,,,527,,,84,174,175,138,,91,79,60,36,80,58,23,21,74,53,29,22,13,62,Jordan Mallon,N/A,,,,,,,43,2,41,
Ceratopsia,Chasmosaurus,,Chasmosaurinae,indet.,CMN 8896,Chinnery 2004b,supplemental,,,,,,,,,,,,,,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Mathew J. Wedel,orig. abbreviation NMC,,,,,,2,0,2,
Ceratopsia,Torosaurus,,Chasmosaurinae,indet.,USNM 4842,Adams 1991,5,,,,,,,,,,,,776,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Christian Foth,,,,,,,2,0,2,
Ceratopsia,Chasmosaurus,belli,Chasmosaurus,belli,CMN 2245,Mallon and Holmes 2006,408,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Robert J. Taylor,,,,,,,1,0,1,
Ceratopsia,Chasmosaurus,belli,Chasmosaurus,belli,CMN 2245,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749,,,,,,,,,,,,533,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,2,1,1,
Ceratopsia,Chasmosaurus,,Chasmosaurus,belli,CMN 2245,Adams 1991,5,,,,,,,,,,,,546,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Christian Foth,orig. abbreviation GSC,,,,,,2,0,2,
Ceratopsia,Chasmosaurus,,Chasmosaurus,belli,CMN 2245,Chinnery 2004b,supplemental,,,,,,672,,,,,,504,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723e,,,,,,103,,,109,,,524,,,498,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Mathew J. Wedel,orig. abbreviation NMC,,,,,,8,3,5,
Ceratopsia,Chasmosaurus,belli,Chasmosaurus,belli,CMN 2245,Sternberg 1927,73,,,311,,,679,,,,,,508,,,,,,,,,432,,,318,,,,,,,,,,,,,,,,,,,,,,,,749,,,,,,,,,,,,533,,,483,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Jay M. Fitzsimmons,converted from inches,,,,,,8,1,7,
Ceratopsia,Chasmosaurus,sp.,Chasmosaurus,belli,CMN 2245,Lull 1933,,,,311,,,679,,,,,,508,,,,,,,,,432,,,318,,,,,,,,,,,,,,,,,,,,,,,,749,,,,,,,,,,,,533,,,483,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Christian Foth,,,,,,,8,1,7,
Ceratopsia,,,Chasmosaurus,belli,CMN 2245,combined,,,,311,,,671,,,,,,504,,,77,,,218,,,438,,,318,,,,,,,,,,,,,,,,,,,,,,,,746,,,,,,106,,,94,,,542,,,492,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,FLAG: Tentatively discarded humerus length of 546 mm (others ranged 495 - 508 mm). Averaged all tibia measurements though one may be questionable.,,,,,,12,3,9,
Ceratopsia,Chasmosaurus,belli,Chasmosaurus,belli,CMN 2245,Mallon pers.obs.,,309,313,,671,653,,,,,495,503,,70,77,,221,216,,,451,,,,,,,,,,,,,,,,,,,,,,,,,,758 (est),749 (est),,,,,111 (est),108,,83 (est),89,,587,,,504,,,,,,,,,,,,,,,,,,,,,,Jordan Mallon,N/A,,,,,,,19,6,13,
Ceratopsia,Chasmosaurus,belli,Chasmosaurus,belli,ROM 839,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,1,1,0,
Ceratopsia,Chasmosaurus,belli,Chasmosaurus,belli,ROM 839,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,,,325,,,119.5,,,64.8,,,565,,,,,,201.5,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,6,4,2,
Ceratopsia,Chasmosaurus,,Chasmosaurus,belli,ROM 839,Chinnery 2004b,supplemental,,,,,,694,,,,,,577,,,90,,,,,,435,,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529e,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Mathew J. Wedel,,,,,,,6,0,6,
Ceratopsia,,,Chasmosaurus,belli,ROM 839,combined,,,,,,,694,,,,,,577,,,90,,,,,,435,,,338,,,,,,,,,,,,,,,,,,,,,,,,825,,,325,,,120,,,65,,,547,,,,,,202,,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,11,4,7,
Ceratopsia,Chasmosaurus,,Chasmosaurus,belli,ROM 843,Chinnery 2004b,supplemental,,,,,,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Mathew J. Wedel,,,,,,,1,0,1,
Ceratopsia,,,Chasmosaurus,belli,ROM 843,combined,,,,,,,668,,,,,,631,,,95,,,295,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,874,,,,,,136,,,72,,,584,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,9,3,6,
Ceratopsia,Chasmosaurus,belli,Chasmosaurus,belli,ROM 843,Mallon pers.obs.,,,,,725,625,,,,,653,609,,95,95,,294,296,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,852,895,,,,,132,139,,76,68,,584,,,,,,,,,,,,,,,,,,,,,,,,,Jordan Mallon,N/A,,,,,,,16,6,10,
Ceratopsia,Chasmosaurus,belli,Chasmosaurus,belli,TMP 82.4.5 (cast of CMN 2280),personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,,,312,,,97.6,,,76.5,,,498,,,465,,139.8,170,141.2,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,9,4,5,
Ceratopsia,Chasmosaurus,mariscalensis,Chasmosaurus,mariscalensis,UTEP P.37.3.031,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,2,2,0,
Ceratopsia,Chasmosaurus,russelli,Chasmosaurus,russelli,CMN 2280,Mallon and Holmes 2006,408,,,,,,,,,,,,,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Robert J. Taylor,,,,,,,1,0,1,
Ceratopsia,Chasmosaurus,sp.,Chasmosaurus,russelli,CMN 2280,Lull 1933,,,,305,,,737,,,,,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Christian Foth,,,,,,,3,0,3,
Ceratopsia,Chasmosaurus,belli,Chasmosaurus,russelli,CMN 2280,Sternberg 1927,73,,,305,,,737,,,,,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Jay M. Fitzsimmons,converted from inches,,,,,,3,0,3,
Ceratopsia,Chasmosaurus,,Chasmosaurus,russelli,CMN 2280,Chinnery 2004b,supplemental,,,,,,775,,,,,,557,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Mathew J. Wedel,orig. abbreviation NMC,,,,,,3,0,3,
Ceratopsia,Chasmosaurus,russelli,Chasmosaurus,russelli,CMN 2280,Mallon pers.obs.,,299,297,,721,712,,,,,553,546,,88,95,,275,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716 (est),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan Mallon,N/A,,,,,,,11,1,10,
Ceratopsia,Chasmosaurus,sp.,Chasmosaurus,sp.,AMNH 5422,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,,,285,,,99.4,,,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,4,4,0,
Ceratopsia,Chasmosaurus,,Chasmosaurus,sp.,AMNH 5422,Chinnery 2004b,supplemental,,,,,,,,,,,,535,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,,,,,,102,,,,,,519e,,,522e,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Mathew J. Wedel,,,,,,,6,2,4,
Ceratopsia,Chasmosaurus,sp.,Chasmosaurus,sp.,AMNH 5422,combined,,,,,,,,,,,,,535,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,,,285,,,101,,,78,,,519,,,522,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,8,4,4,
Ceratopsia,,,Chasmosaurus,sp.,CMN 2280,combined,,,,302,,,736,,,,,,550,,,92,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,,,312,,,98,,,77,,,498,,,,,140,170,141,,,,,,,,,,,,,,,,Andrew A. Farke,,,,,,,,13,4,9,
Ceratopsia,Chasmosaurus,belli,Chasmosaurus,sp.,NHM R4948,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793,,,355,,,130.8,,,71.1,,,575,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,5,4,1,
Ceratopsia,Einiosaurus,procurvicornis,Einiosaurus,procurvicornis,MOR 373-7-27-6-1,Tumarkin-Deratzian 2009,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Andrew A. Farke,,,,,,,1,1,0,
Ceratopsia,Einiosaurus,procurvicornis,Einiosaurus,procurvicornis,MOR 373-8-19-85,Tumarkin-Deratzian 2009,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Andrew A. Farke,,,,,,,1,0,1,
Ceratopsia,Einiosaurus,procurvicornis,Einiosaurus,procurvicornis,MOR 373-8-6-6-3,Tumarkin-Deratzian 2009,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Andrew A. Farke,,,,,,,1,1,0,
Ceratopsia,Einiosaurus,procurvicornis,Einiosaurus,procurvicornis,MOR 456-8-10-6-1,Tumarkin-Deratzian 2009,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Andrew A. Farke,,,,,,,1,0,1,
Ceratopsia,Einiosaurus,procurvicornis,Einiosaurus,procurvicornis,MOR 456-8-10-7-14,Tumarkin-Deratzian 2009,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Andrew A. Farke,,,,,,,1,1,0,
Ceratopsia,Einiosaurus,procurvicornis,Einiosaurus,procurvicornis,MOR 456-8-10-7-32,Tumarkin-Deratzian 2009,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Andrew A. Farke,,,,,,,1,1,0,
Ceratopsia,Einiosaurus,procurvicornis,Einiosaurus,procurvicornis,MOR 456-8-18-6-1,Tumarkin-Deratzian 2009,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Andrew A. Farke,,,,,,,1,1,0,
Ceratopsia,Einiosaurus,procurvicornis,Einiosaurus,procurvicornis,MOR 456-8-19-87-3,Tumarkin-Deratzian 2009,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Andrew A. Farke,,,,,,,1,1,0,
Ceratopsia,Einiosaurus,procurvicornis,Einiosaurus,procurvicornis,MOR 456-8-27-87,Tumarkin-Deratzian 2009,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Andrew A. Farke,,,,,,,1,0,1,
Ceratopsia,Einiosaurus,procurvicornis,Einiosaurus,procurvicornis,MOR 456-B3-124,Tumarkin-Deratzian 2009,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,,,,,,,,,,,,,,,,,,,,,,,Jay M. Fitzsimmons,Andrew A. Farke,,,,,,,1,0,1,
Ceratopsia,Graciliceratops,,Graciliceratops,mongoliensis,ZPAL MgD-I/156,Chinnery 2004b,supplemental,,,,,,89.7e,,,,,,84.7e,,,7,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,10,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Mathew J. Wedel,,,,,,,7,2,5,
Ceratopsia,indeterminate,indeterminate,indeterminate,indeterminate,USNM 365558,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,,158,,,58,,,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,4,4,0,
Ceratopsia,Leptoceratops,,Leptoceratops,gracilis,AMNH 5205,Adams 1991,5,,,,,,,,,,,,290,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Christian Foth,,,,,,,2,0,2,
Ceratopsia,Leptoceratops,gracilis,Leptoceratops,gracilis,AMNH 5205,Sternberg 1951,,,,,,,,,,,,,@,,,,,,,,,@,,,@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Christian Foth,,,,,,,3,0,3,
Ceratopsia,Leptoceratops,gracilis,Leptoceratops,gracilis,AMNH 5205,Brown 1914,580,,,,,,,,,425,,,290,,,,,,,,,224,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Ville-Veikko Sinkkonen,,,,,,,4,0,4,
Ceratopsia,Leptoceratops,,Leptoceratops,gracilis,AMNH 5205,Chinnery 2004b,supplemental,,,,,,344,,,,,,302,,,35,,,,,,226,,,196e,,,,,,,,,,,,,,,,,,,,,,,,244,,,,,,56e,,,,,,219,,,,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Mathew J. Wedel,,,,,,,8,2,6,
Ceratopsia,,,Leptoceratops,gracilis,AMNH 5205,combined,,,,,,,344,,,425,,,293,,,34,,,,,,225,,,177,,,,,,,,,,,,,,,,,,,,,,,,244,,,,,,56,,,,,,219,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,9,2,7,
Ceratopsia,Leptoceratops,gracilis,Leptoceratops,gracilis,CMN 8887,Ostrom 1978,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,240,,,225,64,90,100,90,,,,,,,,,,,,,,,,Robert J. Taylor,William Banks Miller,orig. abbreviation NMC,,,,,,7,1,6,
Ceratopsia,Leptoceratops,gracilis,Leptoceratops,gracilis,CMN 8887,Sternberg 1951,,,,,,,@,,,,,,@,,,,,,,,,@,,,@,@,@,@,@,@,,,,,,,,,,,,,,,,,,,@,,,,,,,,,,,,@,,,@,@,@,@,@,,,,,,,,,,,,,,,,Andrew A. Farke,Christian Foth,,,,,,,16,1,15,
Ceratopsia,,,Leptoceratops,gracilis,CMN 8887,combined,,,,,,,225,,,,,,185,,,,,,,,,145,,,115,30,40,43,25,19,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,240,,,225,64,90,100,90,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,16,1,15,
Ceratopsia,Leptoceratops,gracilis,Leptoceratops,gracilis,CMN 8888,Ostrom 1978,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,280,,,260,77,110,125,112,30,,,,,,,,,,,,,,,Robert J. Taylor,William Banks Miller,orig. abbreviation NMC,,,,,,8,1,7,
Ceratopsia,Leptoceratops,gracilis,Leptoceratops,gracilis,CMN 8888,Sternberg 1951,,,,,,,@,,,,,,@,,,,,,,,,@,,,@,@,@,@,@,@,,,,,,,,,,,,,,,,,,,@,,,,,,,,,,,,@,,,@,@,@,@,@,@,,,,,,,,,,,,,,,Andrew A. Farke,Christian Foth,,,,,,,17,1,16,
Ceratopsia,,,Leptoceratops,gracilis,CMN 8888,combined,,,,,,,226,,,,,,255,,,,,,,,,175,,,137,30,50,45,30,19,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,280,,,260,77,110,125,112,30,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,17,1,16,
Ceratopsia,Leptoceratops,gracilis,Leptoceratops,gracilis,CMN 8889,Rich & Vickers-Rich 2003,4,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,orig. abbreviation NMC,,,,,,1,0,1,
Ceratopsia,Leptoceratops,gracilis,Leptoceratops,gracilis,CMN 8889,Anderson et al 1985,59,,,,,,,,,,,,,,,,,,95e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,John Dziak,orig. abbreviation NMC,,,,,,2,1,1,
Ceratopsia,Leptoceratops,,Leptoceratops,gracilis,CMN 8889,Chinnery 2004b,supplemental,,,,,,,,,,,,248,,,33,,,,,,192,,,163,,,,,,,,,,,,,,,,,,,,,,,,286,,,,,,43,,,87e,,,311,,,282,,,,,,,,,,,,,,,,,,,,Andrew A. Farke,Mathew J. Wedel,orig. abbreviation NMC,,,,,,9,3,6,
